noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.8483436132626642,0.32418825943484886,70
amplitude_damping,0.1,0.8973791471621371,0.26323896197099944,50
amplitude_damping,0.15,0.792018523024562,0.3869379632198482,70
amplitude_damping,0.2,0.8247335910705289,0.3511066401464784,40
bitflip,0.05,0.8526587704834767,0.29695998179933075,80
bitflip,0.1,0.908335174440405,0.25747211611934384,30
bitflip,0.15,0.8604515936188636,0.3086735462412538,50
bitflip,0.2,0.9213479763362556,0.22742323482722854,80
depolarizing,0.05,0.8770142935807599,0.2786931944521884,20
depolarizing,0.1,0.8523891953808203,0.3261464750039388,20
depolarizing,0.15,0.8837374293866257,0.29867887190882153,30
depolarizing,0.2,0.8934633442612153,0.2666909718043385,40
mixed,0.05,0.8668744204153256,0.290245560380709,60
mixed,0.1,0.9094719760243015,0.26080243537257836,50
mixed,0.15,0.883072655104155,0.27943687873910883,60
mixed,0.2,0.8616881380837962,0.288831591735728,60
phase_damping,0.05,0.8952751713713326,0.28571188072359294,40
phase_damping,0.1,0.8481933039188296,0.3405248845606722,30
phase_damping,0.15,0.8229444207458073,0.3380138104598299,60
phase_damping,0.2,0.8725960999923852,0.2724693033719829,60
