noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.5515397270875317,0.28140875743312527,70
amplitude_damping,0.1,0.23253791652619837,0.1815121982306418,50
amplitude_damping,0.15,0.07782473038615925,0.0598621337011618,70
amplitude_damping,0.2,0.05166632768232375,0.04588238107675999,40
bitflip,0.05,0.33238863972947,0.16131066175782738,80
bitflip,0.1,0.07130606888482968,0.0576203771188174,30
bitflip,0.15,0.04849366182461381,0.043610633649278814,50
bitflip,0.2,0.0439773286198033,0.04637807396581507,80
depolarizing,0.05,0.3530657574534416,0.1640837577703097,20
depolarizing,0.1,0.08107719477266073,0.09069297768733066,20
depolarizing,0.15,0.05206411583349109,0.04592830815867884,30
depolarizing,0.2,0.05109628970967606,0.0411589415240308,40
mixed,0.05,0.5746051831791799,0.23172458593787068,60
mixed,0.1,0.1907919343933463,0.13386090197065112,50
mixed,0.15,0.09005355484162768,0.08359146279354479,60
mixed,0.2,0.060802974225953224,0.047496825767317716,60
phase_damping,0.05,0.8108573623001576,0.2825641909216176,40
phase_damping,0.1,0.6805689866344135,0.22870394724458284,30
phase_damping,0.15,0.48364904870589576,0.24063257150970588,60
phase_damping,0.2,0.29578857546051346,0.1864330237713201,60
