noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.6599715746939182,0.26797128983735363,70
amplitude_damping,0.1,0.27062605664134026,0.18845812907282386,50
amplitude_damping,0.15,0.0918744882768286,0.07706811471692869,70
amplitude_damping,0.2,0.06252101459540427,0.05181729785876346,40
bitflip,0.05,0.39415746098384263,0.16553465601926545,80
bitflip,0.1,0.09348899672428766,0.06181878941107737,30
bitflip,0.15,0.05747485360130668,0.04365847613831562,50
bitflip,0.2,0.051206617755815385,0.03784503704276583,80
depolarizing,0.05,0.4113026633858681,0.15394232748367112,20
depolarizing,0.1,0.09253781596198678,0.08961325478835742,20
depolarizing,0.15,0.05645035800213615,0.03860995264867056,30
depolarizing,0.2,0.05458147465251386,0.03318712042459752,40
mixed,0.05,0.6963744007050992,0.21501931825727572,60
mixed,0.1,0.22120585381984711,0.12034301858889633,50
mixed,0.15,0.10707846463968357,0.07982793040299843,60
mixed,0.2,0.07020573836440841,0.050820385981298045,60
phase_damping,0.05,1.0,0.0,40
phase_damping,0.1,0.9823279519875844,0.053423515479089495,30
phase_damping,0.15,0.7411600281794866,0.19857720964571807,60
phase_damping,0.2,0.5070685308426619,0.22746890526509314,60
