noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.1,0.03990730289369822,0.007250508700501585,60
mixed,0.2,0.033269207621924576,0.005385779696199457,80
mixed,0.05,0.13967288732528688,0.05018189438232941,80
phase_damping,0.05,0.4924072131514549,0.11127714681352703,40
amplitude_damping,0.1,0.0836755042274793,0.04687515616060263,60
depolarizing,0.1,0.038311031709114714,0.005075183232834132,30
amplitude_damping,0.05,0.21528743741412956,0.07829793062631801,60
amplitude_damping,0.15,0.03808835118349331,0.017805679143644077,30
phase_damping,0.15,0.2205900079011917,0.09285570871210226,50
phase_damping,0.1,0.3250751461301531,0.10984086143507758,70
mixed,0.1,0.05137754805386066,0.013347394052561327,50
bitflip,0.05,0.0786020044858257,0.028916202591971304,60
phase_damping,0.2,0.1775901966861316,0.09014800590241602,70
bitflip,0.15,0.033294466584920884,0.0022164933344151635,50
depolarizing,0.05,0.08467792673036456,0.023526835052401204,40
bitflip,0.2,0.03209865434716145,0.0013322512842253967,60
amplitude_damping,0.2,0.045601864712079984,0.07253673566585989,40
mixed,0.15,0.037156884123881656,0.007876588582809608,30
depolarizing,0.15,0.03270628321915865,0.0013588374089883084,20
depolarizing,0.2,0.03159681502729654,0.00022980588152170456,20
