noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.03133778240531683,0.00019319833493300578,100
amplitude_damping,0.1,0.03130959263071418,0.00021116437250238464,60
amplitude_damping,0.15,0.031369343586266044,0.0002422763839821947,30
amplitude_damping,0.2,0.031326542422175405,0.0002245576775639537,60
bitflip,0.05,0.03130938299000263,0.00020191942981871895,20
bitflip,0.1,0.0313075240701437,0.00014446387494213817,20
bitflip,0.15,0.03139002211391926,0.00026669861319316806,30
bitflip,0.2,0.03137140274047852,0.00024507956434666336,60
depolarizing,0.05,0.03135317334284385,0.00022561359999858017,30
depolarizing,0.1,0.031377145248864376,0.00030359026709426745,70
depolarizing,0.15,0.03139709670096636,0.0003098196783226817,50
depolarizing,0.2,0.03137402694672346,0.0002397880906299852,50
mixed,0.05,0.03138842595120271,0.00021092087148495668,30
mixed,0.1,0.03131569596007466,0.00029234006995468753,60
mixed,0.15,0.031338561243481104,0.00023440128989850003,90
mixed,0.2,0.03145668376237154,0.00032449074847425326,10
