noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.46874918160693985,0.30664892113260195,70
amplitude_damping,0.1,0.41804013453423977,0.27470781134362143,50
amplitude_damping,0.15,0.46952516899577207,0.31940695218695364,70
amplitude_damping,0.2,0.49249720480293036,0.31358653069781084,40
bitflip,0.05,0.22420023754239082,0.20699169390460084,80
bitflip,0.1,0.11475870677580437,0.0702291282605796,30
bitflip,0.15,0.11055800434201955,0.07431955044529191,50
bitflip,0.2,0.13335226713679732,0.10517084270394063,80
depolarizing,0.05,0.2167317258194089,0.21197126466659777,20
depolarizing,0.1,0.11185290776193142,0.0672695674916415,20
depolarizing,0.15,0.12466895158092181,0.08424109067917052,30
depolarizing,0.2,0.14146306882612408,0.11446374331413695,40
mixed,0.05,0.3641497914989789,0.2778967866423016,60
mixed,0.1,0.2141167129576206,0.18555446955247995,50
mixed,0.15,0.16774355117231607,0.13683328712384166,60
mixed,0.2,0.15486114863306283,0.11033169973453269,60
phase_damping,0.05,0.6756659597158432,0.31250191350372314,40
phase_damping,0.1,0.6248216452697913,0.27385799744423955,30
phase_damping,0.15,0.44518011522789797,0.3221201566824748,60
phase_damping,0.2,0.34268736516435944,0.2800548178925278,60
