noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.07089824157633952,0.062112035381650076,70
amplitude_damping,0.1,0.06297744334675372,0.03710464557968687,50
amplitude_damping,0.15,0.052046117399420055,0.0361872962903556,70
amplitude_damping,0.2,0.04585545249283314,0.03630039297196813,40
bitflip,0.05,0.05561263240524568,0.04340859705920762,80
bitflip,0.1,0.03393422688047091,0.021419529401211074,30
bitflip,0.15,0.039238847587257625,0.02385192989483332,50
bitflip,0.2,0.04293143583345227,0.02966754238347794,80
depolarizing,0.05,0.06092660543508828,0.03586458023709594,20
depolarizing,0.1,0.03846918735653162,0.027878506243745164,20
depolarizing,0.15,0.039995203741515675,0.02279536636581772,30
depolarizing,0.2,0.052737157687079164,0.03745263715244463,40
mixed,0.05,0.06892218853657445,0.05284723321959433,60
mixed,0.1,0.05638174442574382,0.04800606299555139,50
mixed,0.15,0.04637408860338231,0.0350741411913433,60
mixed,0.2,0.044017806796667475,0.02897572947211082,60
phase_damping,0.05,0.10215048412792385,0.07117425686836293,40
phase_damping,0.1,0.102570414232711,0.05373799574848481,30
phase_damping,0.15,0.09083235937481125,0.09631500947390463,60
phase_damping,0.2,0.06189968381077051,0.04298291464208702,60
