noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.19717866480055324,0.0897148148630932,70
amplitude_damping,0.1,0.07385209215696953,0.04841771644671185,50
amplitude_damping,0.15,0.042751325793413564,0.024291398357720127,70
amplitude_damping,0.2,0.029401494056379568,0.02178576246871624,40
bitflip,0.05,0.07961091698684417,0.025754047460405497,80
bitflip,0.1,0.037079551385017964,0.005241748334862358,30
bitflip,0.15,0.033163284546658206,0.0029813322364551404,50
bitflip,0.2,0.03217880276098122,0.0015760779475728127,80
depolarizing,0.05,0.08716008211071484,0.03193155092298407,20
depolarizing,0.1,0.03885306202170809,0.005808604022360434,20
depolarizing,0.15,0.032193143567499145,0.0007304309864558865,30
depolarizing,0.2,0.031641377578475044,0.00037259671559050655,40
mixed,0.05,0.14488989958386675,0.045949785044895435,60
mixed,0.1,0.05220788572064672,0.01360531508801812,50
mixed,0.15,0.03883409905043855,0.009123175381872111,60
mixed,0.2,0.0333318418231859,0.005534278234845792,60
phase_damping,0.05,0.5541419889773389,0.10885624799350396,40
phase_damping,0.1,0.32632943197758824,0.11904741978829424,30
phase_damping,0.15,0.24031541559706124,0.13292765057360822,60
phase_damping,0.2,0.18816376359441792,0.10658869853514656,60
