noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,1.0,0.0,70
amplitude_damping,0.1,0.9926477813720703,0.05146553039550747,50
amplitude_damping,0.15,1.0,0.0,70
amplitude_damping,0.2,1.0,0.0,40
bitflip,0.05,1.0,0.0,80
bitflip,0.1,0.9986641585826874,0.007193726188425226,30
bitflip,0.15,0.8553921043872833,0.16777025840109844,50
bitflip,0.2,0.7311396148055792,0.1735640880029633,80
depolarizing,0.05,1.0,0.0,20
depolarizing,0.1,1.0,0.0,20
depolarizing,0.15,0.8406533400217692,0.17835560796059732,30
depolarizing,0.2,0.7242048174142838,0.1581948381795949,40
mixed,0.05,1.0,0.0,60
mixed,0.1,1.0,0.0,50
mixed,0.15,0.9904442618290583,0.04267084567519766,60
mixed,0.2,0.9169648398955663,0.12179146586577416,60
phase_damping,0.05,1.0,0.0,40
phase_damping,0.1,1.0,0.0,30
phase_damping,0.15,1.0,0.0,60
phase_damping,0.2,1.0,0.0,60
