noise_type,noise_level,mean_fidelity,std_fidelity,count
amplitude_damping,0.05,0.05621055063791573,0.04088592518370271,100
amplitude_damping,0.1,0.042522270961975056,0.03218293306536145,60
amplitude_damping,0.15,0.035847433904806776,0.022949334700718645,30
amplitude_damping,0.2,0.03127591134980321,0.02581037913111584,60
bitflip,0.05,0.04954559379257262,0.04737202935184457,20
bitflip,0.1,0.03363093943335116,0.018128090779784452,20
bitflip,0.15,0.029690357483923437,0.023682307502665572,30
bitflip,0.2,0.03501434746819238,0.027793857899390425,60
depolarizing,0.05,0.055708509869873524,0.043035132386385545,30
depolarizing,0.1,0.04249035589663046,0.04235203889445188,70
depolarizing,0.15,0.03197011129930615,0.024879380652128434,50
depolarizing,0.2,0.0356369230337441,0.028748684863290873,50
mixed,0.05,0.06430521383881568,0.0622368654257701,30
mixed,0.1,0.06706829204534491,0.05623393580142602,60
mixed,0.15,0.03828320381128126,0.03750871530483868,90
mixed,0.2,0.039268275070935485,0.05119534065846371,10
