epoch,current_mb,peak_mb
1,203.188736,12474.049024
2,203.227648,12473.31584
3,204.182016,12474.610176
4,205.144576,12473.344512
5,202.865152,12473.344512
6,204.409344,12473.4592
7,204.2496,12473.856512
8,203.192832,12473.344512
9,202.557952,12473.344512
10,204.128768,12473.344512
11,202.893824,12473.344512
12,201.49504,12473.344512
13,203.250176,12473.344512
14,204.214784,12473.344512
15,203.653632,12473.344512
16,205.613568,12473.344512
17,203.61472,12473.205248
18,204.2496,12473.344512
19,203.192832,12473.344512
20,202.557952,12473.344512
21,204.128768,12473.344512
22,202.893824,12473.344512
23,201.49504,12473.344512
24,203.250176,12473.344512
25,204.214784,12473.344512
26,203.653632,12473.344512
27,205.613568,12473.344512
28,203.61472,12473.205248
29,204.2496,12473.344512
30,203.192832,12473.344512
31,202.557952,12473.344512
32,204.128768,12473.344512
33,202.893824,12473.344512
34,201.49504,12473.344512
35,203.250176,12473.344512
36,204.214784,12473.344512
37,203.653632,12473.344512
38,205.613568,12473.344512
39,203.61472,12473.205248
40,204.2496,12473.344512
41,203.192832,12473.344512
42,202.557952,12473.344512
43,204.128768,12473.344512
44,202.893824,12473.344512
45,201.49504,12473.344512
46,203.250176,12473.344512
47,204.214784,12473.344512
48,203.653632,12473.344512
49,205.613568,12473.344512
50,203.61472,12473.205248
51,204.2496,12473.344512
52,203.192832,12473.344512
53,202.557952,12473.344512
54,204.128768,12473.344512
55,202.893824,12473.344512
56,201.49504,12473.344512
57,203.250176,12473.344512
58,204.214784,12473.344512
59,203.653632,12473.344512
60,205.613568,12473.344512
61,203.61472,12473.205248
62,204.2496,12473.344512
63,203.192832,12473.344512
64,202.557952,12473.344512
65,204.128768,12473.344512
66,202.893824,12473.344512
67,201.49504,12473.344512
68,203.250176,12473.344512
69,204.214784,12473.344512
70,203.653632,12473.344512
71,205.613568,12473.344512
72,203.61472,12473.205248
73,204.2496,12473.344512
74,203.192832,12473.344512
75,202.557952,12473.344512
76,204.128768,12473.344512
77,202.893824,12473.344512
78,201.49504,12473.344512
79,203.250176,12473.344512
80,204.214784,12473.344512
81,203.653632,12473.344512
82,205.613568,12473.344512
83,203.61472,12473.205248
84,204.2496,12473.344512
85,203.192832,12473.344512
86,202.557952,12473.344512
87,204.128768,12473.344512
88,202.893824,12473.344512
89,201.49504,12473.344512
90,203.250176,12473.344512
91,204.214784,12473.344512
92,203.653632,12473.344512
93,205.613568,12473.344512
94,203.61472,12473.205248
95,204.2496,12473.344512
96,203.192832,12473.344512
97,202.557952,12473.344512
98,204.128768,12473.344512
99,202.893824,12473.344512
100,201.49504,12473.344512
