Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Deep (v17 - Frobenius normalized)
Parameters: 2,152,800
Batch size: 64
============================================================

Epoch 1
  chunk 0 final batch loss = 0.835347
  chunk 1 final batch loss = 0.826709
  chunk 2 final batch loss = 0.824866
  chunk 3 final batch loss = 0.824634
  chunk 4 final batch loss = 0.826166
  chunk 5 final batch loss = 0.823467
  chunk 6 final batch loss = 0.824907
  chunk 7 final batch loss = 0.825179
  chunk 8 final batch loss = 0.822572
  chunk 9 final batch loss = 0.823166
  chunk 10 final batch loss = 0.823105
  chunk 11 final batch loss = 0.826719
  chunk 12 final batch loss = 0.824904
  chunk 13 final batch loss = 0.824544
  chunk 14 final batch loss = 0.824103
  chunk 15 final batch loss = 0.817156
  chunk 16 final batch loss = 0.796440
  chunk 17 final batch loss = 0.781077
  chunk 18 final batch loss = 0.821482
  chunk 19 final batch loss = 0.722967
  chunk 20 final batch loss = 0.823339
  chunk 21 final batch loss = 0.812552
  chunk 22 final batch loss = 0.821678
  chunk 23 final batch loss = 0.816489
  chunk 24 final batch loss = 0.821873
  chunk 25 final batch loss = 0.729695
  chunk 26 final batch loss = 0.815673
  chunk 27 final batch loss = 0.628824
  chunk 28 final batch loss = 0.622162
  chunk 29 final batch loss = 0.819469
  chunk 30 final batch loss = 0.649332
  chunk 31 final batch loss = 0.606443
  chunk 32 final batch loss = 0.816650
  chunk 33 final batch loss = 0.596618
  chunk 34 final batch loss = 0.660564
  chunk 35 final batch loss = 0.823171
  chunk 36 final batch loss = 0.793611
  chunk 37 final batch loss = 0.747983
  chunk 38 final batch loss = 0.552718
  chunk 39 final batch loss = 0.838863
  chunk 40 final batch loss = 0.528172
  chunk 41 final batch loss = 0.784471
  chunk 42 final batch loss = 0.508489
  chunk 43 final batch loss = 0.821756
  chunk 44 final batch loss = 0.573327
  chunk 45 final batch loss = 0.826545
  chunk 46 final batch loss = 0.524571
  chunk 47 final batch loss = 0.480518
  chunk 48 final batch loss = 0.479285
  chunk 49 final batch loss = 0.830754
  chunk 50 final batch loss = 0.774211
  chunk 51 final batch loss = 0.531370
  chunk 52 final batch loss = 0.402673
  chunk 53 final batch loss = 0.725159
  chunk 54 final batch loss = 0.507601
  chunk 55 final batch loss = 0.419805
  chunk 56 final batch loss = 0.806833
  chunk 57 final batch loss = 0.820583
  chunk 58 final batch loss = 0.773895
  chunk 59 final batch loss = 0.463888
  chunk 60 final batch loss = 0.779091
  chunk 61 final batch loss = 0.498994
  chunk 62 final batch loss = 0.461712
  chunk 63 final batch loss = 0.826370
  chunk 64 final batch loss = 0.816129
  chunk 65 final batch loss = 0.522959
  chunk 66 final batch loss = 0.790285
  chunk 67 final batch loss = 0.819371
  chunk 68 final batch loss = 0.640479
  chunk 69 final batch loss = 0.770547
  chunk 70 final batch loss = 0.362987
  chunk 71 final batch loss = 0.766538
  chunk 72 final batch loss = 0.800924
  chunk 73 final batch loss = 0.600292
  chunk 74 final batch loss = 0.728170
  chunk 75 final batch loss = 0.414407
  chunk 76 final batch loss = 0.321075
  chunk 77 final batch loss = 0.641175
  chunk 78 final batch loss = 0.818351
  chunk 79 final batch loss = 0.759635
Validation loss: 0.618122
Saved BEST checkpoint
Epoch 2
  chunk 0 final batch loss = 0.821208
  chunk 1 final batch loss = 0.814388
  chunk 2 final batch loss = 0.590943
  chunk 3 final batch loss = 0.415863
  chunk 4 final batch loss = 0.824586
  chunk 5 final batch loss = 0.696244
  chunk 6 final batch loss = 0.329739
  chunk 7 final batch loss = 0.634456
  chunk 8 final batch loss = 0.467571
  chunk 9 final batch loss = 0.792799
  chunk 10 final batch loss = 0.645848
  chunk 11 final batch loss = 0.835857
  chunk 12 final batch loss = 0.801893
  chunk 13 final batch loss = 0.772885
  chunk 14 final batch loss = 0.624522
  chunk 15 final batch loss = 0.461697
  chunk 16 final batch loss = 0.459662
  chunk 17 final batch loss = 0.585762
  chunk 18 final batch loss = 0.750465
  chunk 19 final batch loss = 0.410099
  chunk 20 final batch loss = 0.837997
  chunk 21 final batch loss = 0.755049
  chunk 22 final batch loss = 0.801809
  chunk 23 final batch loss = 0.777542
  chunk 24 final batch loss = 0.809835
  chunk 25 final batch loss = 0.486337
  chunk 26 final batch loss = 0.815103
  chunk 27 final batch loss = 0.313059
  chunk 28 final batch loss = 0.356078
  chunk 29 final batch loss = 0.815444
  chunk 30 final batch loss = 0.461492
  chunk 31 final batch loss = 0.429341
  chunk 32 final batch loss = 0.819735
  chunk 33 final batch loss = 0.364732
  chunk 34 final batch loss = 0.574681
  chunk 35 final batch loss = 0.822388
  chunk 36 final batch loss = 0.788143
  chunk 37 final batch loss = 0.687672
  chunk 38 final batch loss = 0.370123
  chunk 39 final batch loss = 0.830503
  chunk 40 final batch loss = 0.377032
  chunk 41 final batch loss = 0.725502
  chunk 42 final batch loss = 0.360987
  chunk 43 final batch loss = 0.820706
  chunk 44 final batch loss = 0.438412
  chunk 45 final batch loss = 0.821104
  chunk 46 final batch loss = 0.345186
  chunk 47 final batch loss = 0.365069
  chunk 48 final batch loss = 0.404193
  chunk 49 final batch loss = 0.808697
  chunk 50 final batch loss = 0.732667
  chunk 51 final batch loss = 0.425044
  chunk 52 final batch loss = 0.320452
  chunk 53 final batch loss = 0.679151
  chunk 54 final batch loss = 0.417340
  chunk 55 final batch loss = 0.361416
  chunk 56 final batch loss = 0.790967
  chunk 57 final batch loss = 0.808997
  chunk 58 final batch loss = 0.781169
  chunk 59 final batch loss = 0.370533
  chunk 60 final batch loss = 0.735991
  chunk 61 final batch loss = 0.445763
  chunk 62 final batch loss = 0.433875
  chunk 63 final batch loss = 0.816933
  chunk 64 final batch loss = 0.804191
  chunk 65 final batch loss = 0.456951
  chunk 66 final batch loss = 0.745717
  chunk 67 final batch loss = 0.812844
  chunk 68 final batch loss = 0.541991
  chunk 69 final batch loss = 0.770153
  chunk 70 final batch loss = 0.303412
  chunk 71 final batch loss = 0.753294
  chunk 72 final batch loss = 0.796627
  chunk 73 final batch loss = 0.572756
  chunk 74 final batch loss = 0.660894
  chunk 75 final batch loss = 0.338469
  chunk 76 final batch loss = 0.285416
  chunk 77 final batch loss = 0.544606
  chunk 78 final batch loss = 0.819050
  chunk 79 final batch loss = 0.738402
Validation loss: 0.557788
Saved BEST checkpoint
Epoch 3
  chunk 0 final batch loss = 0.820299
  chunk 1 final batch loss = 0.809264
  chunk 2 final batch loss = 0.553299
  chunk 3 final batch loss = 0.395298
  chunk 4 final batch loss = 0.815523
  chunk 5 final batch loss = 0.684386
  chunk 6 final batch loss = 0.316458
  chunk 7 final batch loss = 0.585190
  chunk 8 final batch loss = 0.446128
  chunk 9 final batch loss = 0.751921
  chunk 10 final batch loss = 0.571553
  chunk 11 final batch loss = 0.836750
  chunk 12 final batch loss = 0.796161
  chunk 13 final batch loss = 0.782774
  chunk 14 final batch loss = 0.529708
  chunk 15 final batch loss = 0.407405
  chunk 16 final batch loss = 0.419424
  chunk 17 final batch loss = 0.519736
  chunk 18 final batch loss = 0.719509
  chunk 19 final batch loss = 0.353567
  chunk 20 final batch loss = 0.838942
  chunk 21 final batch loss = 0.717004
  chunk 22 final batch loss = 0.807200
  chunk 23 final batch loss = 0.764232
  chunk 24 final batch loss = 0.803609
  chunk 25 final batch loss = 0.425289
  chunk 26 final batch loss = 0.821342
  chunk 27 final batch loss = 0.268924
  chunk 28 final batch loss = 0.328205
  chunk 29 final batch loss = 0.822573
  chunk 30 final batch loss = 0.391618
  chunk 31 final batch loss = 0.381082
  chunk 32 final batch loss = 0.755803
  chunk 33 final batch loss = 0.330670
  chunk 34 final batch loss = 0.497915
  chunk 35 final batch loss = 0.823498
  chunk 36 final batch loss = 0.764705
  chunk 37 final batch loss = 0.661712
  chunk 38 final batch loss = 0.303830
  chunk 39 final batch loss = 0.828819
  chunk 40 final batch loss = 0.348592
  chunk 41 final batch loss = 0.743774
  chunk 42 final batch loss = 0.335868
  chunk 43 final batch loss = 0.816484
  chunk 44 final batch loss = 0.412632
  chunk 45 final batch loss = 0.812180
  chunk 46 final batch loss = 0.350923
  chunk 47 final batch loss = 0.322312
  chunk 48 final batch loss = 0.358514
  chunk 49 final batch loss = 0.806894
  chunk 50 final batch loss = 0.731823
  chunk 51 final batch loss = 0.405785
  chunk 52 final batch loss = 0.312692
  chunk 53 final batch loss = 0.608526
  chunk 54 final batch loss = 0.440709
  chunk 55 final batch loss = 0.365054
  chunk 56 final batch loss = 0.774563
