Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

Epoch 1
  chunk 0 final batch loss = 0.829540
  chunk 1 final batch loss = 0.827305
  chunk 2 final batch loss = 0.825360
  chunk 3 final batch loss = 0.826056
  chunk 4 final batch loss = 0.826341
  chunk 5 final batch loss = 0.824746
  chunk 6 final batch loss = 0.822850
  chunk 7 final batch loss = 0.824449
  chunk 8 final batch loss = 0.805709
  chunk 9 final batch loss = 0.823264
  chunk 10 final batch loss = 0.812172
  chunk 11 final batch loss = 0.823617
  chunk 12 final batch loss = 0.823315
  chunk 13 final batch loss = 0.823766
  chunk 14 final batch loss = 0.822562
  chunk 15 final batch loss = 0.809608
  chunk 16 final batch loss = 0.770478
  chunk 17 final batch loss = 0.794063
  chunk 18 final batch loss = 0.820068
  chunk 19 final batch loss = 0.677722
  chunk 20 final batch loss = 0.825114
  chunk 21 final batch loss = 0.813639
  chunk 22 final batch loss = 0.817571
  chunk 23 final batch loss = 0.808143
  chunk 24 final batch loss = 0.819512
  chunk 25 final batch loss = 0.713012
  chunk 26 final batch loss = 0.831735
  chunk 27 final batch loss = 0.578061
  chunk 28 final batch loss = 0.560438
  chunk 29 final batch loss = 0.829420
  chunk 30 final batch loss = 0.596655
  chunk 31 final batch loss = 0.562888
  chunk 32 final batch loss = 0.820137
  chunk 33 final batch loss = 0.524932
  chunk 34 final batch loss = 0.681615
  chunk 35 final batch loss = 0.819951
  chunk 36 final batch loss = 0.804276
  chunk 37 final batch loss = 0.740144
  chunk 38 final batch loss = 0.504866
  chunk 39 final batch loss = 0.839551
  chunk 40 final batch loss = 0.485191
  chunk 41 final batch loss = 0.761841
  chunk 42 final batch loss = 0.466170
  chunk 43 final batch loss = 0.824353
  chunk 44 final batch loss = 0.552433
  chunk 45 final batch loss = 0.828353
  chunk 46 final batch loss = 0.471068
  chunk 47 final batch loss = 0.468688
  chunk 48 final batch loss = 0.464475
  chunk 49 final batch loss = 0.821051
  chunk 50 final batch loss = 0.764156
  chunk 51 final batch loss = 0.507415
  chunk 52 final batch loss = 0.366836
  chunk 53 final batch loss = 0.731025
  chunk 54 final batch loss = 0.483651
  chunk 55 final batch loss = 0.403801
  chunk 56 final batch loss = 0.808102
  chunk 57 final batch loss = 0.819861
  chunk 58 final batch loss = 0.758875
  chunk 59 final batch loss = 0.416169
  chunk 60 final batch loss = 0.768637
  chunk 61 final batch loss = 0.486242
  chunk 62 final batch loss = 0.456628
  chunk 63 final batch loss = 0.825934
  chunk 64 final batch loss = 0.815275
  chunk 65 final batch loss = 0.516615
  chunk 66 final batch loss = 0.766859
  chunk 67 final batch loss = 0.822084
  chunk 68 final batch loss = 0.614115
  chunk 69 final batch loss = 0.706933
  chunk 70 final batch loss = 0.367660
  chunk 71 final batch loss = 0.776208
  chunk 72 final batch loss = 0.806478
  chunk 73 final batch loss = 0.580410
  chunk 74 final batch loss = 0.669960
  chunk 75 final batch loss = 0.379558
  chunk 76 final batch loss = 0.320065
  chunk 77 final batch loss = 0.605769
  chunk 78 final batch loss = 0.823471
  chunk 79 final batch loss = 0.746090
Validation loss: 0.609328
Saved BEST checkpoint
Epoch 2
  chunk 0 final batch loss = 0.820404
  chunk 1 final batch loss = 0.816532
  chunk 2 final batch loss = 0.649903
  chunk 3 final batch loss = 0.422666
  chunk 4 final batch loss = 0.823207
  chunk 5 final batch loss = 0.713648
  chunk 6 final batch loss = 0.343383
  chunk 7 final batch loss = 0.583099
  chunk 8 final batch loss = 0.460544
  chunk 9 final batch loss = 0.766750
  chunk 10 final batch loss = 0.609030
  chunk 11 final batch loss = 0.838006
  chunk 12 final batch loss = 0.789882
  chunk 13 final batch loss = 0.786457
  chunk 14 final batch loss = 0.585288
  chunk 15 final batch loss = 0.453041
  chunk 16 final batch loss = 0.436410
  chunk 17 final batch loss = 0.588668
  chunk 18 final batch loss = 0.749445
  chunk 19 final batch loss = 0.373518
  chunk 20 final batch loss = 0.842225
  chunk 21 final batch loss = 0.752032
  chunk 22 final batch loss = 0.817798
  chunk 23 final batch loss = 0.741205
  chunk 24 final batch loss = 0.813131
  chunk 25 final batch loss = 0.462280
  chunk 26 final batch loss = 0.816769
  chunk 27 final batch loss = 0.325153
  chunk 28 final batch loss = 0.358986
  chunk 29 final batch loss = 0.833248
  chunk 30 final batch loss = 0.395109
  chunk 31 final batch loss = 0.411214
  chunk 32 final batch loss = 0.800334
  chunk 33 final batch loss = 0.379494
  chunk 34 final batch loss = 0.545405
  chunk 35 final batch loss = 0.818548
  chunk 36 final batch loss = 0.773899
  chunk 37 final batch loss = 0.676794
  chunk 38 final batch loss = 0.344927
  chunk 39 final batch loss = 0.825386
  chunk 40 final batch loss = 0.377186
  chunk 41 final batch loss = 0.738060
  chunk 42 final batch loss = 0.341559
  chunk 43 final batch loss = 0.817070
  chunk 44 final batch loss = 0.423988
  chunk 45 final batch loss = 0.815468
  chunk 46 final batch loss = 0.361929
  chunk 47 final batch loss = 0.342705
  chunk 48 final batch loss = 0.382297
  chunk 49 final batch loss = 0.828434
  chunk 50 final batch loss = 0.752884
  chunk 51 final batch loss = 0.427441
  chunk 52 final batch loss = 0.333082
  chunk 53 final batch loss = 0.662108
  chunk 54 final batch loss = 0.466903
  chunk 55 final batch loss = 0.359493
  chunk 56 final batch loss = 0.784659
  chunk 57 final batch loss = 0.806611
  chunk 58 final batch loss = 0.721648
  chunk 59 final batch loss = 0.379633
  chunk 60 final batch loss = 0.723544
  chunk 61 final batch loss = 0.383171
  chunk 62 final batch loss = 0.399106
  chunk 63 final batch loss = 0.816395
  chunk 64 final batch loss = 0.817291
  chunk 65 final batch loss = 0.413459
  chunk 66 final batch loss = 0.737181
  chunk 67 final batch loss = 0.808805
  chunk 68 final batch loss = 0.583800
  chunk 69 final batch loss = 0.699715
  chunk 70 final batch loss = 0.316649
  chunk 71 final batch loss = 0.757070
  chunk 72 final batch loss = 0.785400
  chunk 73 final batch loss = 0.500629
  chunk 74 final batch loss = 0.653297
  chunk 75 final batch loss = 0.336486
  chunk 76 final batch loss = 0.274875
  chunk 77 final batch loss = 0.599962
  chunk 78 final batch loss = 0.808878
  chunk 79 final batch loss = 0.728983
Validation loss: 0.556753
Saved BEST checkpoint
Epoch 3
  chunk 0 final batch loss = 0.811432
  chunk 1 final batch loss = 0.809266
  chunk 2 final batch loss = 0.558951
  chunk 3 final batch loss = 0.399297
  chunk 4 final batch loss = 0.811848
  chunk 5 final batch loss = 0.638292
  chunk 6 final batch loss = 0.302760
  chunk 7 final batch loss = 0.572130
  chunk 8 final batch loss = 0.423531
  chunk 9 final batch loss = 0.695647
  chunk 10 final batch loss = 0.524531
  chunk 11 final batch loss = 0.823715
  chunk 12 final batch loss = 0.780947
  chunk 13 final batch loss = 0.786813
  chunk 14 final batch loss = 0.562570
  chunk 15 final batch loss = 0.418243
  chunk 16 final batch loss = 0.394599
  chunk 17 final batch loss = 0.536292
  chunk 18 final batch loss = 0.764729
  chunk 19 final batch loss = 0.351650
  chunk 20 final batch loss = 0.819830
  chunk 21 final batch loss = 0.762696
  chunk 22 final batch loss = 0.815165
  chunk 23 final batch loss = 0.749486
  chunk 24 final batch loss = 0.802472
  chunk 25 final batch loss = 0.426379
  chunk 26 final batch loss = 0.819707
  chunk 27 final batch loss = 0.306491
  chunk 28 final batch loss = 0.305376
  chunk 29 final batch loss = 0.808077
  chunk 30 final batch loss = 0.416342
  chunk 31 final batch loss = 0.368719
  chunk 32 final batch loss = 0.781646
  chunk 33 final batch loss = 0.325927
  chunk 34 final batch loss = 0.501804
  chunk 35 final batch loss = 0.820612
  chunk 36 final batch loss = 0.742741
  chunk 37 final batch loss = 0.633164
  chunk 38 final batch loss = 0.345674
  chunk 39 final batch loss = 0.825080
  chunk 40 final batch loss = 0.352247
  chunk 41 final batch loss = 0.719246
  chunk 42 final batch loss = 0.307316
  chunk 43 final batch loss = 0.813561
  chunk 44 final batch loss = 0.396246
  chunk 45 final batch loss = 0.804405
  chunk 46 final batch loss = 0.312248
  chunk 47 final batch loss = 0.341671
  chunk 48 final batch loss = 0.376262
  chunk 49 final batch loss = 0.810378
  chunk 50 final batch loss = 0.728719
  chunk 51 final batch loss = 0.416496
  chunk 52 final batch loss = 0.293767
  chunk 53 final batch loss = 0.617112
  chunk 54 final batch loss = 0.441871
  chunk 55 final batch loss = 0.359417
  chunk 56 final batch loss = 0.783093
  chunk 57 final batch loss = 0.796751
  chunk 58 final batch loss = 0.726897
  chunk 59 final batch loss = 0.363240
  chunk 60 final batch loss = 0.716948
  chunk 61 final batch loss = 0.356681
  chunk 62 final batch loss = 0.368227
