Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using STREAMING + FROBENIUS NORMALIZATION

============================================================
Training Transformer 8-qubit (v17 - Streaming + Frobenius)
Parameters: 1,611,072
Batch size: 8
============================================================

Epoch 1
  batch 100 loss = 0.986251
  batch 200 loss = 0.940212
  batch 300 loss = 0.900062
  batch 400 loss = 0.941909
  batch 500 loss = 0.938672
  batch 600 loss = 0.938478
  batch 700 loss = 0.938784
  batch 800 loss = 0.924095
  batch 900 loss = 0.899312
  batch 1000 loss = 0.897544
  batch 1100 loss = 0.902693
  batch 1200 loss = 0.903228
  batch 1300 loss = 0.931203
  batch 1400 loss = 0.939598
  batch 1500 loss = 0.939661
  batch 1600 loss = 0.937018
  batch 1700 loss = 0.938335
  batch 1800 loss = 0.912062
  batch 1900 loss = 0.889572
  batch 2000 loss = 0.884368
  batch 2100 loss = 0.912980
  batch 2200 loss = 0.941886
  batch 2300 loss = 0.895319
  batch 2400 loss = 0.892612
  batch 2500 loss = 0.900764
  batch 2600 loss = 0.912692
  batch 2700 loss = 0.906915
  batch 2800 loss = 0.883023
  batch 2900 loss = 0.930085
  batch 3000 loss = 0.932093
  batch 3100 loss = 0.938310
  batch 3200 loss = 0.939205
  batch 3300 loss = 0.940915
  batch 3400 loss = 0.900555
  batch 3500 loss = 0.891670
  batch 3600 loss = 0.934668
  batch 3700 loss = 0.937651
  batch 3800 loss = 0.937764
  batch 3900 loss = 0.933579
  batch 4000 loss = 0.937893
  batch 4100 loss = 0.937819
  batch 4200 loss = 0.931743
  batch 4300 loss = 0.909303
  batch 4400 loss = 0.938640
  batch 4500 loss = 0.938130
  batch 4600 loss = 0.922965
  batch 4700 loss = 0.936358
  batch 4800 loss = 0.924865
  batch 4900 loss = 0.926608
  batch 5000 loss = 0.920259
  batch 5100 loss = 0.908117
  batch 5200 loss = 0.897747
  batch 5300 loss = 0.887539
  batch 5400 loss = 0.920777
  batch 5500 loss = 0.917016
  batch 5600 loss = 0.937676
  batch 5700 loss = 0.885092
  batch 5800 loss = 0.936152
  batch 5900 loss = 0.905707
  batch 6000 loss = 0.883806
  batch 6100 loss = 0.934159
  batch 6200 loss = 0.910897
  batch 6300 loss = 0.925456
  batch 6400 loss = 0.911659
  batch 6500 loss = 0.910352
  batch 6600 loss = 0.935489
  batch 6700 loss = 0.937605
  batch 6800 loss = 0.879407
  batch 6900 loss = 0.895310
  batch 7000 loss = 0.909644
  batch 7100 loss = 0.898082
  batch 7200 loss = 0.934564
  batch 7300 loss = 0.904628
  batch 7400 loss = 0.938413
  batch 7500 loss = 0.936606
  batch 7600 loss = 0.907971
  batch 7700 loss = 0.913166
  batch 7800 loss = 0.894665
  batch 7900 loss = 0.904674
  batch 8000 loss = 0.903484
  batch 8100 loss = 0.929998
  batch 8200 loss = 0.938717
  batch 8300 loss = 0.938618
  batch 8400 loss = 0.914004
  batch 8500 loss = 0.918372
  batch 8600 loss = 0.930053
  batch 8700 loss = 0.940924
  batch 8800 loss = 0.938065
  batch 8900 loss = 0.940167
  batch 9000 loss = 0.933103
  batch 9100 loss = 0.932544
  batch 9200 loss = 0.914954
  batch 9300 loss = 0.908309
