noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.2,0.039878259009371204,0.01124590008587061,60
depolarizing,0.2,0.0408460046723485,0.01587747958851143,50
amplitude_damping,0.1,0.12417049172023932,0.06095072508277873,60
bitflip,0.15,0.055199650737146534,0.028038287063265693,30
amplitude_damping,0.05,0.4092884347215295,0.1079509802330663,100
mixed,0.15,0.0903602723342677,0.05403206202454488,90
depolarizing,0.15,0.0838594312593341,0.05369811968733954,50
depolarizing,0.1,0.169297813304833,0.09836877506864966,70
amplitude_damping,0.15,0.0684649212906758,0.05797265281314022,30
mixed,0.1,0.24952558055520058,0.10888451498094653,60
amplitude_damping,0.2,0.037429468954602876,0.01580623476193754,60
mixed,0.05,0.47392274836699166,0.0847496528811412,30
bitflip,0.05,0.3326122187077999,0.08331046157340864,20
depolarizing,0.05,0.37021229018767676,0.08348583541192238,30
mixed,0.2,0.045964496210217476,0.016386507959036192,10
bitflip,0.1,0.10059014596045017,0.039281751025170605,20
