noise_type,noise_level,mean_fidelity,std_fidelity,count
bitflip,0.1,0.05861320048570633,0.020880587738061732,60
mixed,0.2,0.03634202645625919,0.00857520901921883,80
mixed,0.05,0.2757296536117792,0.0755300005663245,80
phase_damping,0.05,0.6132014758884907,0.09705821528486103,40
amplitude_damping,0.1,0.08029096365595857,0.04847783455884841,60
depolarizing,0.1,0.05558010414242744,0.018074468845344412,30
amplitude_damping,0.05,0.29108389901618165,0.10459806011390926,60
amplitude_damping,0.15,0.03668484979619582,0.009923633233035783,30
phase_damping,0.15,0.29143500462174415,0.10179213523282009,50
phase_damping,0.1,0.4293646241937365,0.09802184504811179,70
mixed,0.1,0.08846391551196575,0.033054756830957224,50
bitflip,0.05,0.15434474274516105,0.0556180416194564,60
phase_damping,0.2,0.24706021962421282,0.09454593822606365,70
bitflip,0.15,0.03850152295082807,0.008505060422230286,50
depolarizing,0.05,0.179796233586967,0.05083713877421477,40
bitflip,0.2,0.03382651327798764,0.005498276934022236,60
amplitude_damping,0.2,0.05728910572361201,0.1443743033131047,40
mixed,0.15,0.04716302423427502,0.01568806403131258,30
depolarizing,0.15,0.03634843695908785,0.0059296229178929455,20
depolarizing,0.2,0.03150465656071901,0.003814152114045807,20
